id_facture;numero;id_commande;id_client;date_facture;date_echeance;date_reglement;montant_ht;montant_ttc;statut_reglement;mode_reglement
FAC-002791;FAC-2024-002791;CMD-002909;CLI-01205;2024-01-21;2024-02-20;2024-02-05;3269.46;3923.35;payée;Virement
FAC-002792;FAC-2024-002792;CMD-002910;CLI-01553;2024-01-23;2024-02-22;2024-02-05;359.16;430.99;payée;Virement
FAC-002793;FAC-2024-002793;CMD-002911;CLI-00945;2024-01-31;2024-03-01;2024-02-28;1220.85;1465.02;payée;Prélèvement
FAC-002794;FAC-2024-002794;CMD-002912;CLI-02450;2024-01-31;2024-03-01;;1311.12;1573.34;en retard;Chèque
FAC-002795;FAC-2024-002795;CMD-002913;CLI-01780;2024-01-30;2024-02-29;2024-02-25;248.98;298.78;payée;Carte
FAC-002796;FAC-2024-002796;CMD-002914;CLI-00338;2024-01-25;2024-02-24;2024-02-13;0;0;payée;Chèque
FAC-002797;FAC-2024-002797;CMD-002915;CLI-00258;2024-01-21;2024-02-20;2024-04-27;364.98;437.98;payée;Virement
FAC-002798;FAC-2024-002798;CMD-002916;CLI-02343;2024-01-29;2024-02-28;2024-02-25;4477.44;5372.93;payée;Prélèvement
FAC-002799;FAC-2024-002799;CMD-002917;CLI-00103;2024-01-25;2024-02-24;2024-03-01;1949.36;2339.23;payée;Virement
FAC-002800;FAC-2024-002800;CMD-002918;CLI-01170;2024-01-30;2024-02-29;2024-04-22;125.17;150.2;payée;Virement
FAC-002801;FAC-2024-002801;CMD-002919;CLI-00636;2024-01-16;2024-02-15;2024-02-12;18105.22;21726.26;payée;Virement
FAC-002802;FAC-2024-002802;CMD-002920;CLI-00775;2024-01-16;2024-02-15;;4495.29;5394.35;en retard;Chèque
FAC-002803;FAC-2024-002803;CMD-002922;CLI-00533;2024-02-04;2024-03-05;2024-02-21;17911.05;21493.26;payée;Virement
FAC-002804;FAC-2024-002804;CMD-002923;CLI-01282;2024-02-02;2024-03-03;2024-02-14;64.64;77.57;payée;Carte
FAC-002805;FAC-2024-002805;CMD-002924;CLI-00474;2024-01-18;2024-02-17;2024-02-04;320.98;385.18;payée;Virement
FAC-002806;FAC-2024-002806;CMD-002925;CLI-01639;2024-01-25;2024-02-24;2024-03-17;8268.36;9922.03;payée;Prélèvement
FAC-002807;FAC-2024-002807;CMD-002926;CLI-01656;2024-01-19;2024-02-18;2024-03-04;567.84;681.41;payée;Chèque
FAC-002808;FAC-2024-002808;CMD-002927;CLI-02040;2024-01-29;2024-02-28;2024-02-13;754.27;905.12;payée;Chèque
FAC-002809;FAC-2024-002809;CMD-002928;CLI-00484;2024-02-03;2024-03-04;2024-02-14;1806.04;2167.25;payée;Carte
FAC-002810;FAC-2024-002810;CMD-002929;CLI-00408;2024-01-22;2024-02-21;2024-02-11;213.76;256.51;payée;Chèque
FAC-002811;FAC-2024-002811;CMD-002930;CLI-00510;2024-01-20;2024-02-19;2024-02-13;81.39;97.67;payée;Virement
FAC-002812;FAC-2024-002812;CMD-002931;CLI-01905;2024-02-04;2024-03-05;2024-02-15;354.34;425.21;payée;Carte
FAC-002813;FAC-2024-002813;CMD-002932;CLI-00810;2024-01-15;2024-02-14;2024-01-26;4972.37;5966.84;payée;Virement
FAC-002814;FAC-2024-002814;CMD-002933;CLI-01664;2024-02-03;2024-03-04;2024-04-14;273.15;327.78;payée;Prélèvement
FAC-002815;FAC-2024-002815;CMD-002934;CLI-00177;2024-01-27;2024-02-26;2024-02-10;603.29;723.95;payée;Virement
FAC-002816;FAC-2024-002816;CMD-002935;CLI-00368;2024-01-22;2024-02-21;2024-02-22;1118.31;1341.97;payée;Carte
FAC-002817;FAC-2024-002817;CMD-002936;CLI-02485;2024-01-21;2024-02-20;;8008.52;9610.22;en retard;Virement
FAC-002818;FAC-2024-002818;CMD-002937;CLI-02193;2024-02-02;2024-03-03;2024-04-23;9049.71;10859.65;payée;Carte
FAC-002819;FAC-2024-002819;CMD-002938;CLI-02056;2024-01-18;2024-02-17;2024-02-04;7508.93;9010.72;payée;Carte
FAC-002820;FAC-2024-002820;CMD-002939;CLI-00392;2024-01-18;2024-02-17;2024-02-13;2530.9;3037.08;payée;Carte
FAC-002821;FAC-2024-002821;CMD-002940;CLI-00083;2024-01-26;2024-02-25;2024-04-30;3545.02;4254.02;payée;Chèque
FAC-002822;FAC-2024-002822;CMD-002941;CLI-01522;2024-02-04;2024-03-05;2024-04-28;14294.9;17153.88;payée;Virement
FAC-002823;FAC-2024-002823;CMD-002942;CLI-01873;2024-01-24;2024-02-23;2024-02-15;700.88;841.06;payée;Virement
FAC-002824;FAC-2024-002824;CMD-002943;CLI-00911;2024-02-04;2024-03-05;2024-02-15;2714.36;3257.23;payée;Chèque
FAC-002825;FAC-2024-002825;CMD-002944;CLI-01414;2024-01-16;2024-02-15;2024-02-02;6974.12;8368.94;payée;Prélèvement
FAC-002826;FAC-2024-002826;CMD-002945;CLI-02211;2024-01-28;2024-02-27;2024-02-09;256.31;307.57;payée;Prélèvement
FAC-002827;FAC-2024-002827;CMD-002946;CLI-00010;2024-02-04;2024-03-05;2024-02-20;16172.69;19407.23;payée;Carte
FAC-002828;FAC-2024-002828;CMD-002948;CLI-01169;2024-01-22;2024-02-21;;4475.44;5370.53;en retard;Virement
FAC-002829;FAC-2024-002829;CMD-002949;CLI-00528;2024-01-30;2024-02-29;2024-02-28;123.25;147.9;payée;Virement
FAC-002830;FAC-2024-002830;CMD-002950;CLI-01306;2024-01-20;2024-02-19;2024-02-02;1719;2062.8;payée;Prélèvement
FAC-002831;FAC-2024-002831;CMD-993232;CLI-01798;2024-01-26;2024-02-25;2024-02-19;484.37;581.24;payée;Carte
FAC-002832;FAC-2024-002832;CMD-002952;CLI-00521;2024-01-16;2024-02-15;2024-02-19;6440.37;7728.44;payée;Chèque
FAC-002833;FAC-2024-002833;CMD-002953;CLI-00088;2024-01-24;2024-02-23;2024-03-06;1405.19;1686.23;payée;Carte
FAC-002834;FAC-2024-002834;CMD-002954;CLI-00832;2024-01-17;2024-02-16;2024-02-25;845.28;1014.34;payée;Virement
FAC-002835;FAC-2024-002835;CMD-002955;CLI-01918;2024-01-19;2024-02-18;2024-01-31;23942;28730.4;payée;Prélèvement
FAC-002836;FAC-2024-002836;CMD-002956;CLI-00556;2024-01-21;2024-02-20;2024-02-07;867.4;1040.88;payée;Carte
FAC-002837;FAC-2024-002837;CMD-002957;CLI-00542;2024-02-04;2024-03-05;2024-04-19;18.64;22.37;payée;Chèque
FAC-002838;FAC-2024-002838;CMD-002958;CLI-02434;2024-02-02;2024-03-03;2024-04-03;27.98;33.58;payée;Virement
FAC-002839;FAC-2024-002839;CMD-002959;CLI-01182;2024-01-20;2024-02-19;2024-04-08;113.67;136.4;payée;Chèque
FAC-002840;FAC-2024-002840;CMD-002960;CLI-01793;2024-01-29;2024-02-28;2024-02-11;1616.16;1939.39;payée;Carte
FAC-002841;FAC-2024-002841;CMD-002961;CLI-01537;2024-02-04;2024-03-05;2024-03-15;18726.48;22471.78;payée;Carte
FAC-002842;FAC-2024-002842;CMD-002962;CLI-01842;2024-02-05;2024-03-06;;5484.76;6581.71;en retard;Chèque
FAC-002843;FAC-2024-002843;CMD-002963;CLI-00277;2024-01-27;2024-02-26;2024-03-21;203.33;244;payée;Chèque
FAC-002844;FAC-2024-002844;CMD-002964;CLI-01083;2024-02-02;2024-03-03;2024-02-25;6111.04;7333.25;payée;Prélèvement
FAC-002845;FAC-2024-002845;CMD-002965;CLI-02017;2024-02-05;2024-03-06;2024-03-01;497.06;596.47;payée;Prélèvement
FAC-002846;FAC-2024-002846;CMD-002966;CLI-00051;2024-01-24;2024-02-23;2024-02-08;24564.52;29477.42;payée;Chèque
FAC-002847;FAC-2024-002847;CMD-002968;CLI-02210;2024-01-25;2024-02-24;2024-02-12;4634.42;5561.3;payée;Prélèvement
FAC-002848;FAC-2024-002848;CMD-002969;CLI-00207;2024-02-06;2024-03-07;2024-02-18;6350.96;7621.15;payée;Virement
FAC-002849;FAC-2024-002849;CMD-002970;CLI-01013;2024-01-26;2024-02-25;2024-02-20;34.3;41.16;payée;Chèque
FAC-002850;FAC-2024-002850;CMD-002971;CLI-01224;2024-01-20;2024-02-19;2024-02-18;214.15;256.98;payée;Chèque
FAC-002851;FAC-2024-002851;CMD-002972;CLI-00819;2024-01-27;2024-02-26;2024-02-17;16402.26;19682.71;payée;Prélèvement
FAC-002852;FAC-2024-002852;CMD-002973;CLI-01133;2024-01-25;2024-02-24;2024-02-14;2808.88;3370.66;payée;Chèque
FAC-002853;FAC-2024-002853;CMD-002974;CLI-00009;2024-01-19;2024-02-18;2024-02-08;610.4;732.48;payée;Carte
FAC-002854;FAC-2024-002854;CMD-002975;CLI-02126;2024-02-06;2024-03-07;2024-03-02;1423.32;1707.98;payée;Carte
FAC-002855;FAC-2024-002855;CMD-002976;CLI-00423;2024-01-27;2024-02-26;2024-02-26;599.46;719.35;payée;Virement
FAC-002856;FAC-2024-002856;CMD-002977;CLI-02089;2024-01-18;2024-02-17;;7010.07;8412.08;en retard;Prélèvement
FAC-002857;FAC-2024-002857;CMD-002978;CLI-01271;2024-01-30;2024-02-29;2024-02-26;3937.6;4725.12;payée;Chèque
FAC-002858;FAC-2024-002858;CMD-002979;CLI-00345;2024-02-04;2024-03-05;2024-02-24;1349.02;1618.82;payée;Prélèvement
FAC-002859;FAC-2024-002859;CMD-002980;CLI-00880;2024-02-06;2024-03-07;2024-03-16;11816.55;14179.86;payée;Virement
FAC-002860;FAC-2024-002860;CMD-002981;CLI-01195;2024-01-22;2024-02-21;2024-05-04;1226.04;1471.25;payée;Chèque
FAC-002861;FAC-2024-002861;CMD-002982;CLI-01636;2024-01-28;2024-02-27;2024-04-13;477.18;572.62;payée;Carte
FAC-002862;FAC-2024-002862;CMD-002983;CLI-01580;2024-01-30;2024-02-29;2024-02-22;1773.04;2127.65;payée;Prélèvement
FAC-002863;FAC-2024-002863;CMD-002984;CLI-00521;2024-02-02;2024-03-03;2024-05-31;21232.81;25479.37;payée;Chèque
FAC-002864;FAC-2024-002864;CMD-002985;CLI-01481;2024-02-01;2024-03-02;2024-02-21;776.61;931.93;payée;Chèque
FAC-002865;FAC-2024-002865;CMD-002986;CLI-01797;2024-02-02;2024-03-03;;381.52;457.82;en retard;Carte
FAC-002866;FAC-2024-002866;CMD-002987;CLI-01809;2024-01-19;2024-02-18;2024-04-10;4398.06;5277.67;payée;Prélèvement
FAC-002867;FAC-2024-002867;CMD-002988;CLI-01753;2024-01-20;2024-02-19;2024-02-23;42.64;51.17;payée;Prélèvement
FAC-002868;FAC-2024-002868;CMD-002989;CLI-00867;2024-02-02;2024-03-03;2024-02-29;7837.02;9404.42;payée;Carte
FAC-002869;FAC-2024-002869;CMD-002990;CLI-01000;2024-01-30;2024-02-29;2024-02-21;1167.71;1401.25;payée;Prélèvement
FAC-002870;FAC-2024-002870;CMD-002991;CLI-01511;2024-01-31;2024-03-01;2024-02-18;375.06;450.07;payée;Chèque
FAC-002871;FAC-2024-002871;CMD-002992;CLI-01291;2024-01-21;2024-02-20;2024-02-18;5972.75;7167.3;payée;Carte
FAC-002872;FAC-2024-002872;CMD-002993;CLI-00328;2024-01-29;2024-02-28;2024-04-24;1846.35;2215.62;payée;Carte
FAC-002873;FAC-2024-002873;CMD-002994;CLI-00350;2024-02-07;2024-03-08;;569.41;683.29;en retard;Carte
FAC-002874;FAC-2024-002874;CMD-002995;CLI-02472;2024-01-25;2024-02-24;2024-02-28;1048.12;1257.74;payée;Chèque
FAC-002875;FAC-2024-002875;CMD-002996;CLI-02002;2024-02-03;2024-03-04;2024-02-22;1702.76;2043.31;payée;Prélèvement
FAC-002876;FAC-2024-002876;CMD-002997;CLI-02283;2024-01-24;2024-02-23;;9005.5;10806.6;en retard;Chèque
FAC-002877;FAC-2024-002877;CMD-002998;CLI-01952;2024-02-04;2024-03-05;2024-02-21;3263.86;3916.63;payée;Chèque
FAC-002878;FAC-2024-002878;CMD-002999;CLI-00148;2024-01-20;2024-02-19;2024-04-28;8557.08;10268.5;payée;Chèque
FAC-002879;FAC-2024-002879;CMD-003000;CLI-01054;2024-02-02;2024-03-03;2024-02-27;15306.69;18368.03;payée;Carte
FAC-002880;FAC-2024-002880;CMD-003001;CLI-01154;2024-02-05;2024-03-06;2024-02-17;1302.24;1562.69;payée;Carte
FAC-002881;FAC-2024-002881;CMD-003002;CLI-01561;2024-02-01;2024-03-02;2024-03-07;6642.79;7971.35;payée;Prélèvement
FAC-002882;FAC-2024-002882;CMD-003003;CLI-00536;2024-02-07;2024-03-08;2024-02-18;1028.17;1233.8;payée;Prélèvement
FAC-002883;FAC-2024-002883;CMD-003004;CLI-00983;2024-01-30;2024-02-29;2024-02-13;5309.08;6370.9;payée;Prélèvement
FAC-002884;FAC-2024-002884;CMD-003005;CLI-02346;2024-01-31;2024-03-01;;905.69;1086.83;en retard;Prélèvement
FAC-002885;FAC-2024-002885;CMD-003006;CLI-00065;2024-01-29;2024-02-28;2024-03-28;1415.89;1699.07;payée;Virement
FAC-002886;FAC-2024-002886;CMD-003007;CLI-01653;2024-01-27;2024-02-26;2024-02-13;17394.4;20873.28;payée;Virement
FAC-002887;FAC-2024-002887;CMD-003008;CLI-02048;2024-01-27;2024-02-26;2024-02-28;24.86;29.83;payée;Chèque
FAC-002888;FAC-2024-002888;CMD-003009;CLI-00351;2024-02-08;2024-03-09;;1820.02;2184.02;en retard;Carte
FAC-002889;FAC-2024-002889;CMD-003010;CLI-01690;2024-01-21;2024-02-20;;3002.56;3603.07;en retard;Virement
FAC-002890;FAC-2024-002890;CMD-003011;CLI-02051;2024-02-05;2024-03-06;2024-02-19;11809.48;14171.38;payée;Prélèvement
FAC-002891;FAC-2024-002891;CMD-003012;CLI-02144;2024-01-25;2024-02-24;2024-02-17;11717.91;14061.49;payée;Chèque
FAC-002892;FAC-2024-002892;CMD-003013;CLI-01277;2024-01-24;2024-02-23;2024-02-10;442.03;530.44;payée;Virement
FAC-002893;FAC-2024-002893;CMD-003014;CLI-01074;2024-01-22;2024-02-21;2024-02-15;8.56;10.27;payée;Prélèvement
FAC-002894;FAC-2024-002894;CMD-003015;CLI-01519;2024-01-25;2024-02-24;2024-02-24;243.67;292.4;payée;Chèque
FAC-002895;FAC-2024-002895;CMD-003016;CLI-00717;2024-01-24;2024-02-23;2024-02-20;529.21;635.05;payée;Carte
FAC-002896;FAC-2024-002896;CMD-003017;CLI-01132;2024-02-01;2024-03-02;2024-02-19;8229.42;9875.3;payée;Virement
FAC-002897;FAC-2024-002897;CMD-003018;CLI-01133;2024-02-09;2024-03-10;2024-03-04;10469.34;12563.21;payée;Virement
FAC-002898;FAC-2024-002898;CMD-003019;CLI-00305;2024-02-01;2024-03-02;;9588.87;11506.64;en retard;Virement
FAC-002899;FAC-2024-002899;CMD-003020;CLI-01489;2024-02-05;2024-03-06;2024-03-01;2039.13;2446.96;payée;Prélèvement
FAC-002900;FAC-2024-002900;CMD-003021;CLI-02095;2024-02-09;2024-03-10;2024-03-10;102.9;123.48;payée;Carte
FAC-002901;FAC-2024-002901;CMD-003022;CLI-00963;2024-01-31;2024-03-01;2024-02-11;785.14;942.17;payée;Virement
FAC-002902;FAC-2024-002902;CMD-003023;CLI-01224;2024-01-29;2024-02-28;;4881.21;5857.45;en retard;Virement
FAC-002903;FAC-2024-002903;CMD-003024;CLI-02176;2024-02-06;2024-03-07;2024-02-29;23313.37;27976.04;payée;Prélèvement
FAC-002904;FAC-2024-002904;CMD-003025;CLI-01839;2024-01-25;2024-02-24;2024-02-05;1450.23;1740.28;payée;Virement
FAC-002905;FAC-2024-002905;CMD-003026;CLI-00768;2024-01-30;2024-02-29;2024-02-25;173.32;207.98;payée;Prélèvement
FAC-002906;FAC-2024-002906;CMD-003027;CLI-01343;2024-02-02;2024-03-03;2024-02-12;7315.1;8778.12;payée;Carte
FAC-002907;FAC-2024-002907;CMD-003028;CLI-00013;2024-02-06;2024-03-07;2024-03-14;31.24;37.49;payée;Virement
FAC-002908;FAC-2024-002908;CMD-003029;CLI-00042;2024-02-02;2024-03-03;2024-02-17;6581.48;7897.78;payée;Virement
FAC-002909;FAC-2024-002909;CMD-003030;CLI-02026;2024-01-25;2024-02-24;2024-03-01;2817.04;3380.45;payée;Chèque
FAC-002910;FAC-2024-002910;CMD-003031;CLI-02034;2024-02-06;2024-03-07;;3375.27;4050.32;en retard;Prélèvement
FAC-002911;FAC-2024-002911;CMD-003032;CLI-01194;2024-01-29;2024-02-28;2024-02-19;1696.14;2035.37;payée;Virement
FAC-002912;FAC-2024-002912;CMD-003033;CLI-02329;2024-02-02;2024-03-03;2024-02-24;17355.1;20826.12;payée;Prélèvement
FAC-002913;FAC-2024-002913;CMD-003034;CLI-01031;2024-02-08;2024-03-09;2024-03-02;20778.7;24934.44;payée;Prélèvement
FAC-002914;FAC-2024-002914;CMD-003035;CLI-01313;2024-01-23;2024-02-22;2024-02-17;2873.06;3447.67;payée;Carte
FAC-002915;FAC-2024-002915;CMD-003036;CLI-01285;2024-01-27;2024-02-26;2024-02-07;998.27;1197.92;payée;Chèque
FAC-002916;FAC-2024-002916;CMD-003037;CLI-00492;2024-02-10;2024-03-11;2024-03-05;742.32;890.78;payée;Chèque
FAC-002917;FAC-2024-002917;CMD-003038;CLI-01762;2024-02-03;2024-03-04;2024-04-12;648.11;777.73;payée;Virement
FAC-002918;FAC-2024-002918;CMD-003039;CLI-00284;2024-02-08;2024-03-09;2024-03-08;1260.55;1512.66;payée;Virement
FAC-002919;FAC-2024-002919;CMD-003040;CLI-01890;2024-01-24;2024-02-23;2024-02-23;20980.44;25176.53;payée;Virement
FAC-002920;FAC-2024-002920;CMD-003041;CLI-00460;2024-02-09;2024-03-10;2024-02-24;2869.46;3443.35;payée;Chèque
FAC-002921;FAC-2024-002921;CMD-003042;CLI-01786;2024-02-10;2024-03-11;2024-04-27;6140.83;7369;payée;Virement
FAC-002922;FAC-2024-002922;CMD-003043;CLI-01730;2024-01-28;2024-02-27;2024-02-26;3544.86;4253.83;payée;Prélèvement
FAC-002923;FAC-2024-002923;CMD-003044;CLI-00303;2024-01-27;2024-02-26;2024-02-29;404.7;485.64;payée;Prélèvement
FAC-002924;FAC-2024-002924;CMD-003045;CLI-00009;2024-02-07;2024-03-08;2024-03-07;3202.38;3842.86;payée;Chèque
FAC-002925;FAC-2024-002925;CMD-003046;CLI-02010;2024-01-27;2024-02-26;;214.26;257.11;en retard;Prélèvement
FAC-002926;FAC-2024-002926;CMD-003047;CLI-02323;2024-01-24;2024-02-23;2024-02-23;6901.55;8281.86;payée;Carte
FAC-002927;FAC-2024-002927;CMD-003048;CLI-02124;2024-02-04;2024-03-05;2024-02-16;6511.47;7813.76;payée;Carte
FAC-002928;FAC-2024-002928;CMD-003049;CLI-00671;2024-02-10;2024-03-11;;2015.33;2418.4;en retard;Chèque
FAC-002929;FAC-2024-002929;CMD-003050;CLI-01095;2024-01-28;2024-02-27;2024-02-20;124.66;149.59;payée;Chèque
FAC-002930;FAC-2024-002930;CMD-003051;CLI-01696;2024-02-02;2024-03-03;2024-02-23;3840.56;4608.67;payée;Carte
FAC-002931;FAC-2024-002931;CMD-003052;CLI-00121;2024-02-02;2024-03-03;2024-02-25;2324.47;2789.36;payée;Carte
FAC-002932;FAC-2024-002932;CMD-003053;CLI-01689;2024-01-30;2024-02-29;2024-02-18;3012.73;3615.28;payée;Prélèvement
FAC-002933;FAC-2024-002933;CMD-003054;CLI-01159;2024-01-31;2024-03-01;2024-02-18;4208.48;5050.18;payée;Prélèvement
FAC-002934;FAC-2024-002934;CMD-003055;CLI-01641;2024-02-08;2024-03-09;2024-03-03;12559.05;15070.86;payée;Chèque
FAC-002935;FAC-2024-002935;CMD-003056;CLI-01864;2024-02-06;2024-03-07;2024-03-21;500.04;600.05;payée;Chèque
FAC-002936;FAC-2024-002936;CMD-003057;CLI-02411;2024-01-26;2024-02-25;2024-02-06;689.28;827.14;payée;Prélèvement
FAC-002937;FAC-2024-002937;CMD-003058;CLI-01781;2024-02-05;2024-03-06;2024-03-05;780.74;936.89;payée;Virement
FAC-002938;FAC-2024-002938;CMD-003059;CLI-02243;2024-02-07;2024-03-08;2024-03-13;15080.67;18096.8;payée;Carte
FAC-002939;FAC-2024-002939;CMD-003060;CLI-01335;2024-02-02;2024-03-03;2024-02-28;64.4;77.28;payée;Prélèvement
FAC-002940;FAC-2024-002940;CMD-003061;CLI-00995;2024-02-02;2024-03-03;2024-02-14;1566.04;1879.25;payée;Chèque
FAC-002941;FAC-2024-002941;CMD-003062;CLI-00473;2024-01-31;2024-03-01;2024-02-23;336.86;404.23;payée;Carte
FAC-002942;FAC-2024-002942;CMD-003063;CLI-01650;2024-02-04;2024-03-05;2024-05-13;1928.52;2314.22;payée;Prélèvement
FAC-002943;FAC-2024-002943;CMD-003064;CLI-00852;2024-01-24;2024-02-23;2024-02-09;19918.48;23902.18;payée;Virement
FAC-002944;FAC-2024-002944;CMD-003065;CLI-00606;2024-01-27;2024-02-26;;11096.57;13315.88;en retard;Virement
FAC-002945;FAC-2024-002945;CMD-003066;CLI-00579;2024-02-01;2024-03-02;2024-02-27;16904.9;20285.88;payée;Virement
FAC-002946;FAC-2024-002946;CMD-003067;CLI-00073;2024-02-10;2024-03-11;2024-03-07;2019.74;2423.69;payée;Chèque
FAC-002947;FAC-2024-002947;CMD-003068;CLI-01873;2024-01-25;2024-02-24;;1818.3;2181.96;en retard;Chèque
FAC-002948;FAC-2024-002948;CMD-003069;CLI-00844;2024-02-04;2024-03-05;2024-03-02;1933.89;2320.67;payée;Carte
FAC-002949;FAC-2024-002949;CMD-003070;CLI-00191;2024-01-28;2024-02-27;2024-02-11;160.68;192.82;payée;Virement
FAC-002950;FAC-2024-002950;CMD-003071;CLI-00191;2024-02-12;2024-03-13;2024-03-08;5.11;6.13;payée;Virement
FAC-002951;FAC-2024-002951;CMD-003072;CLI-01766;2024-01-30;2024-02-29;2024-02-09;3436.9;4124.28;payée;Chèque
FAC-002952;FAC-2024-002952;CMD-003073;CLI-00850;2024-01-27;2024-02-26;2024-02-22;1034.37;1241.24;payée;Virement
FAC-002953;FAC-2024-002953;CMD-003074;CLI-01607;2024-01-27;2024-02-26;2024-03-12;483.09;579.71;payée;Carte
FAC-002954;FAC-2024-002954;CMD-003075;CLI-00708;2024-01-25;2024-02-24;2024-02-12;93.2;111.84;payée;Prélèvement
FAC-002955;FAC-2024-002955;CMD-003076;CLI-01774;2024-02-03;2024-03-04;2024-03-11;123.01;147.61;payée;Prélèvement
FAC-002956;FAC-2024-002956;CMD-003077;CLI-01108;2024-01-26;2024-02-25;;2279.59;2735.51;en retard;Carte
FAC-002957;FAC-2024-002957;CMD-003078;CLI-00901;2024-01-26;2024-02-25;;348.67;418.4;en retard;Carte
FAC-002958;FAC-2024-002958;CMD-003079;CLI-00791;2024-01-30;2024-02-29;2024-02-09;4886.15;5863.38;payée;Carte
FAC-002959;FAC-2024-002959;CMD-003081;CLI-01497;2024-01-25;2024-02-24;2024-02-13;337.37;404.84;payée;Prélèvement
FAC-002960;FAC-2024-002960;CMD-003082;CLI-01726;2024-02-11;2024-03-12;2024-03-19;3892.5;4671;payée;Prélèvement
FAC-002961;FAC-2024-002961;CMD-003083;CLI-01962;2024-02-11;2024-03-12;2024-06-01;7277.03;8732.44;payée;Carte
FAC-002962;FAC-2024-002962;CMD-003084;CLI-02123;2024-02-01;2024-03-02;2024-02-29;4811.19;5773.43;payée;Chèque
FAC-002963;FAC-2024-002963;CMD-993848;CLI-01245;2024-02-11;2024-03-12;2024-03-12;4846.08;5815.3;payée;Virement
FAC-002964;FAC-2024-002964;CMD-003086;CLI-01100;2024-02-02;2024-03-03;2024-02-29;2045.8;2454.96;payée;Chèque
FAC-002965;FAC-2024-002965;CMD-003087;CLI-00132;2024-01-26;2024-02-25;2024-02-14;3934.58;4721.5;payée;Virement
FAC-002966;FAC-2024-002966;CMD-003088;CLI-00420;2024-02-12;2024-03-13;2024-03-10;1577.4;1892.88;payée;Carte
FAC-002967;FAC-2024-002967;CMD-003089;CLI-00918;2024-02-04;2024-03-05;2024-03-06;80.48;96.58;payée;Prélèvement
FAC-002968;FAC-2024-002968;CMD-003090;CLI-02485;2024-01-25;2024-02-24;2024-02-16;1612.02;1934.42;payée;Virement
FAC-002969;FAC-2024-002969;CMD-003091;CLI-00890;2024-02-10;2024-03-11;2024-03-06;10866.33;13039.6;payée;Virement
FAC-002970;FAC-2024-002970;CMD-003092;CLI-02271;2024-02-12;2024-03-13;2024-02-22;515.83;619;payée;Chèque
FAC-002971;FAC-2024-002971;CMD-003093;CLI-00952;2024-01-30;2024-02-29;2024-02-21;42.64;51.17;payée;Prélèvement
FAC-002972;FAC-2024-002972;CMD-003094;CLI-00522;2024-02-03;2024-03-04;2024-02-16;720;864;payée;Prélèvement
FAC-002973;FAC-2024-002973;CMD-003095;CLI-01443;2024-01-24;2024-02-23;2024-02-08;251.33;301.6;payée;Carte
FAC-002974;FAC-2024-002974;CMD-003096;CLI-02434;2024-02-06;2024-03-07;2024-03-04;1791.43;2149.72;payée;Prélèvement
FAC-002975;FAC-2024-002975;CMD-003097;CLI-00011;2024-01-27;2024-02-26;2024-03-22;226.08;271.3;payée;Carte
FAC-002976;FAC-2024-002976;CMD-003098;CLI-02241;2024-02-09;2024-03-10;2024-02-24;2224.77;2669.72;payée;Carte
FAC-002977;FAC-2024-002977;CMD-003099;CLI-02420;2024-02-02;2024-03-03;2024-03-04;2121.6;2545.92;payée;Chèque
FAC-002978;FAC-2024-002978;CMD-003100;CLI-00348;2024-02-06;2024-03-07;2024-03-19;867.03;1040.44;payée;Carte
FAC-002979;FAC-2024-002979;CMD-003101;CLI-01770;2024-02-08;2024-03-09;2024-05-04;8899.53;10679.44;payée;Virement
FAC-002980;FAC-2024-002980;CMD-003102;CLI-01730;2024-02-05;2024-03-06;2024-03-12;2.36;2.83;payée;Carte
FAC-002981;FAC-2024-002981;CMD-003103;CLI-02059;2024-02-08;2024-03-09;2024-02-19;159.28;191.14;payée;Chèque
FAC-002982;FAC-2024-002982;CMD-003105;CLI-00166;2024-01-29;2024-02-28;2024-02-17;85.6;102.72;payée;Prélèvement
FAC-002983;FAC-2024-002983;CMD-003106;CLI-00795;2024-02-09;2024-03-10;2024-02-29;515.16;618.19;payée;Carte
FAC-002984;FAC-2024-002984;CMD-003107;CLI-01564;2024-01-28;2024-02-27;;482.76;579.31;en retard;Virement
FAC-002985;FAC-2024-002985;CMD-003108;CLI-00991;2024-02-02;2024-03-03;2024-03-30;204.21;245.05;payée;Chèque
FAC-002986;FAC-2024-002986;CMD-003109;CLI-01221;2024-01-30;2024-02-29;2024-03-02;3237.12;3884.54;payée;Prélèvement
FAC-002987;FAC-2024-002987;CMD-003110;CLI-01758;2024-02-07;2024-03-08;2024-03-04;5546.82;6656.18;payée;Chèque
FAC-002988;FAC-2024-002988;CMD-003111;CLI-00488;2024-01-27;2024-02-26;2024-02-10;2588.36;3106.03;payée;Carte
FAC-002989;FAC-2024-002989;CMD-003112;CLI-00070;2024-02-06;2024-03-07;2024-05-09;1705.41;2046.49;payée;Chèque
FAC-002990;FAC-2024-002990;CMD-003113;CLI-02221;2024-02-01;2024-03-02;;217.37;260.84;en retard;Prélèvement
FAC-002991;FAC-2024-002991;CMD-003114;CLI-00536;2024-02-05;2024-03-06;2024-02-28;5218.87;6262.64;payée;Carte
FAC-002992;FAC-2024-002992;CMD-003115;CLI-00583;2024-02-11;2024-03-12;2024-03-02;2617.51;3141.01;payée;Prélèvement
FAC-002993;FAC-2024-002993;CMD-003116;CLI-00983;2024-02-14;2024-03-15;;6151.95;7382.34;en retard;Prélèvement
